"","X","Paper","Condition","Subcondition","Neurotypical","Subject.Group","Dual.Task","Treatment","Self.Congruence","Scene","fMRI","ERP","Eye.Track","Agent","Agent.Subclass","Animate","Directional","Perspective.Consistency","Directional.Consistency","Gender.Matched","Target.Perspective","Self.Other.Blocking","Design.Block","Block.Type","Excluded.Mismatch","Explicitly.Tracking.Self","Explicitly.Tracking.Other","Explicitly.NOT.Tracking.Other","Told.Ignore.Stimulus","Spacial.Distribution","Perspective.Eliminated","Learning.Required","Cue.Type","Cue","Social.Cue","Task","Action","Timeout","Virtual.InPerson","Subject","Value","RTorError","StudyNumber","Age","Sex","Matching","PerspectiveSelf","filter_condition"
"26",12625,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_6",0,"Error","2",NA,NA,"mismatch",1,"Pavlidou_2018_2"
"27",12626,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_7",0,"Error","2",NA,NA,"match",1,"Pavlidou_2018_2"
"28",12627,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_7",0,"Error","2",NA,NA,"mismatch",1,"Pavlidou_2018_2"
"29",12628,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_8",0.05555556,"Error","2",NA,NA,"match",1,"Pavlidou_2018_2"
"30",12629,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_8",0.05555556,"Error","2",NA,NA,"mismatch",1,"Pavlidou_2018_2"
"31",12630,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_9",0,"Error","2",NA,NA,"match",1,"Pavlidou_2018_2"
"32",12631,"Pavlidou_2018","self_consistent_arrow_LGVS","LGVS_stim","Y","NT","N","LGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_9",0,"Error","2",NA,NA,"mismatch",1,"Pavlidou_2018_2"
"33",12664,"Pavlidou_2018","self_consistent_arrow_RGVS","RGVS_stim","Y","NT","N","RGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_1",0.2222222,"Error","2",NA,NA,"match",1,"Pavlidou_2018_2"
"34",12665,"Pavlidou_2018","self_consistent_arrow_RGVS","RGVS_stim","Y","NT","N","RGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_1",0,"Error","2",NA,NA,"mismatch",1,"Pavlidou_2018_2"
"35",12666,"Pavlidou_2018","self_consistent_arrow_RGVS","RGVS_stim","Y","NT","N","RGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_10",0,"Error","2",NA,NA,"match",1,"Pavlidou_2018_2"
"36",12667,"Pavlidou_2018","self_consistent_arrow_RGVS","RGVS_stim","Y","NT","N","RGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_10",0,"Error","2",NA,NA,"mismatch",1,"Pavlidou_2018_2"
